Country_Name,Country_Code,GDP_2003,GDP_2004,GDP_2005,GDP_2006,GDP_2007,GDP_2008,GDP_2009,GDP_2010,GDP_2011,GDP_2012,GDP_2013,GDP_2014,GDP_2015,GDP_2016,GDP_2017,GDP_2018,GDP_2019,GDP_2020,GDP_2021,Health_2003,Health_2004,Health_2005,Health_2006,Health_2007,Health_2008,Health_2009,Health_2010,Health_2011,Health_2012,Health_2013,Health_2014,Health_2015,Health_2016,Health_2017,Health_2018,Health_2019,Health_2020,Health_2021
High income,HIC,2.3052217806046,3.51338885161896,2.9745387366886,3.22028728970081,2.85667247349559,0.675885063107501,-3.37852833748032,3.0483401750343,2.01785170589382,1.47288810559398,1.59795707356696,2.14176816474907,2.32552627513027,1.8330409085689,2.47631841025758,2.36999444408524,1.84582706522258,-3.91466926056485,5.58436815582274,10.4233088175703,10.3434904199869,10.3643629546141,10.3968245667501,10.3327328167925,10.4643332675907,11.4653323013778,11.3149022792891,11.2660669127716,11.3687610565479,11.3802844061398,11.5911787525246,12.0548574293804,12.2327917030328,12.1495786821731,12.0636612302603,12.2694815378165,13.7364222994294,13.1280554760148
Latvia,LVA,8.42286220668569,8.28414597787324,10.7203659565649,11.9718356939022,9.941921627624,-3.24912072305602,-14.2601400377132,-4.455567259981,2.57371236333377,7.04224716054507,2.00796687876637,1.90217268380506,3.88526005426763,2.36861474664423,3.31247593587459,3.99051924069269,0.587502383494098,-3.51380284197906,6.73173527824665,5.48,6.2,5.83,5.7,5.51,5.58,6.1,6.1,5.72,5.41,5.41,5.46,5.65,6.13,5.97,6.19,6.61,7.25,9.04
Lithuania,LTU,10.565956988762,6.56949011753593,7.73236760360545,7.41412133545715,11.1074801410501,2.61442303328732,-14.8386083735986,1.65124065328366,6.03900816040344,3.84386474906337,3.55007284270488,3.53700987901611,2.02458395469182,2.51882827307178,4.28259695120761,3.99331032795327,4.6656783812234,-0.0246124952916773,6.28471003860921,6.19,5.51,5.65,5.84,5.76,6.29,7.37,6.81,6.49,6.28,6.13,6.19,6.49,6.64,6.48,6.53,6.99,7.48,7.82
Slovenia,SVN,2.96026028579455,4.35919277843992,3.79797264198649,5.746396900645,6.98016075450694,3.50984151699558,-7.54843779134178,1.34374847220215,0.861327732719303,-2.63943875676689,-1.02928277204056,2.76815883065036,2.21008160650594,3.19185251782498,4.81538063231366,4.45436574721896,3.52267923999254,-4.24088372175214,8.22849988578498,8.1,7.94,8,7.82,7.51,7.85,8.54,8.57,8.54,8.72,8.74,8.5,8.5,8.46,8.18,8.28,8.5,9.43,9.48
Norway,NOR,0.944909391118713,4.01458801709728,2.68512289082248,2.46147313370328,2.91403998607174,0.481919541231974,-1.94036469505112,0.787051845495441,1.10565602733728,2.71795926678982,1.01619082409272,2.04813199855084,1.85733972643303,1.16472423497285,2.46374628510146,0.828900664137592,1.12377787436797,-1.2781717845226,3.90868677689417,9.19,8.8,8.3,7.88,8.02,7.92,9.03,8.86,8.73,8.72,8.87,9.28,10.07,10.53,10.23,9.96,10.44,11.42,10.08
Moldova,MDA,6.59999995777716,7.39999973358189,7.5000001493726,4.79999983670831,3.00000022585525,7.80000014541523,-6.00000026352828,7.10000010705836,5.81816614684824,-0.589733954762579,9.0438656074181,4.99962585407656,-0.338235622387202,4.64601436259409,4.17561205106279,4.07559546585034,3.5523140853476,-8.27597831976949,13.9299997889786,7.02,8.97,9.56,10.54,11.02,10.95,13.68,10.13,9.1,9.14,8.68,8.63,8.56,7.54,7.13,6.71,6.5,7,7.75
Algeria,DZA,6.50000000017639,4.50000000010007,5.39999999964473,2.9000000001322,3.09999999978203,2.49999999997046,1.20000000003458,4.80000000030061,3.0000000000326,2.39999999959915,2.60000000006077,4.10000000035542,3.19999999974922,3.89999999992476,1.5000000001012,1.40000000013293,0.89999999991042,-5,3.8,3.60104108,3.5440731,3.23516107,3.35510349,3.82141757,4.20188284,5.35939837,5.11716986,5.26748085,6.00050974,6.03576279,6.54721403,6.96321011,6.58904791,6.53307724,6.38729763,5.86751413,6.14268684,5.5283432
East Asia & Pacific (IDA & IBRD countries),TEA,8.94395195518388,9.12090674476882,9.97650606306892,11.0778674808846,12.4861550379558,8.61541267345021,7.98436893969252,9.92108201376767,8.64289773095604,7.58023773794096,7.29846415082417,6.98434973711566,6.70720095585358,6.56457371022981,6.70740565027259,6.52484260710393,5.78182085585361,1.24678181948383,7.60341969056822,3.98302902140117,3.89238840832789,3.88307155964996,3.73191654171443,3.55827633227114,3.72788704679394,4.12693441532311,4.0201690315235,4.14249704363884,4.33736653464,4.46908978293292,4.55687297763886,4.71802571418424,4.75419993614103,4.81911638328741,4.91811510953025,5.06634043020684,5.35218464249272,5.25995747509673
St. Lucia,LCA,4.26461148738223,7.2674088699471,-0.410304726290235,6.19525729141048,1.69161857433913,4.94932194028057,-2.82889954830628,0.330018546071486,4.32694280532142,-0.108756148262358,-2.00502437372521,1.52067344396673,0.102115735124443,3.42786536845747,3.3796285677149,2.88677902171601,-0.653959999999998,-24.5044000000001,12.22991,5.24069643,4.76760817,4.86039829,5.1270175,5.54166603,5.09061956,5.24410772,5.05308437,5.07998085,4.9241581,5.04967594,4.62420511,4.51419878,4.44803333,4.37286377,4.18686533,4.19073772,6.79121685,6.2111187
Latin America & Caribbean (excluding high income),LAC,2.40702989791446,5.27421879419067,3.98895482375281,5.25294233722504,5.33529155458459,3.73980822787215,-2.40638979699085,6.6720676437814,4.42530345672121,2.37115639361687,2.76540819718329,1.29588598740295,0.292573684049671,-0.483657124690296,2.01747161889023,1.56534077715564,0.665471963458231,-6.54268614832709,6.8144664615359,6.60084872617021,6.70267687602501,6.78946144994724,6.85975737163182,7.02255922564747,7.04996122432145,7.6025363392131,7.30445111816594,7.20773096906265,7.21013114858363,7.35268678149682,7.48889031272391,7.84618678006918,7.87012312392698,8.05198608417777,7.89788035714924,7.89229796147617,8.51146592557256,8.21407321365614
Singapore,SGP,4.54825542643229,9.93998268434957,7.36632239250758,9.00676607871758,9.02151951268893,1.86348345462035,0.127953382778088,14.5197497108994,6.21493416858989,4.43549759378537,4.81763099120676,3.93554027709007,2.97679931634806,3.58864369582668,4.51292631770927,3.51711418509255,1.34505874082728,-3.86979893430043,9.69076687082064,3.60699272,3.15019798,3.03367925,2.9347465,2.83749056,3.19488454,3.39853096,3.20265388,3.15792179,3.32783675,3.68562651,3.87155652,4.18069839,4.38810682,4.36493397,4.07545424,4.39938164,5.71281767,5.56525183
