Country_Name,Country_Code,Indicator_Name,Indicator_Code,Year_2003,Year_2004,Year_2005,Year_2006,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Year_2014,Year_2015,Year_2016,Year_2017,Year_2018,Year_2019,Year_2020,Year_2021
Country Name,Country Code,Indicator Name,Indicator Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Kosovo,XKX,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,5.03485413839893,4.93995095961395,6.31981022896761,1.71219595890548,5.34079911900278,3.34880478431623,5.91623128345211,5.57177504731632,4.82565565298054,3.40663227056285,4.75680057007834,-5.34027547826166,10.7456560819583
Sint Maarten (Dutch part),SXM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,3.19999269219366,4.60000341415395,1.39054456773131,1.30673103459678,1.58038221539113,0.105813149997005,0.96775836306881,-7.53521399882428,-6.85698299227944,10.9650009352392,-13.3167887221567,4.57759677933345
Channel Islands,CHI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,2.57442418152031,2.06644673893601,2.3607446539344,-8.46759731706375,15.455211303251
St. Martin (French part),MAF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,1,5,-8.00000324038295,-7.99999506898229,6.50000363700821,-12.500002246731,4.89999967133534
Faroe Islands,FRO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,-4.30300216202099,-0.576939114349187,3.70819417120374,7.01665379949266,5.85305191414515,5.43270135720174,0.976378534447207,1.46991580449082,3.51430597113571,2.73155215546514,4.39010333975558,-1.92683441672665,5.75555052732079
Djibouti,DJI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,7.06154324233921,7.52610891881017,7.1234323372872,5.458091517212,4.7744168883374,5.5451305999467,1.31636324158444,4.52234774643702
South Sudan,SSD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,5.04164187983342,5.49341639529945,-4.64031673600859,-46.0821223743007,13.1297311406943,3.37364847715736,-10.7933646271143,,,,,,
New Caledonia,NCL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,3.99570728203879,-1.40000000198451,-2.40000000064407,-2.09999999762849
Turks and Caicos Islands,TCA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,-0.97229935533214,1.07087701348118,8.71129658152685,11.3148341336331,7.25118054973062,-2.5,5.61059358355325,5.31092524837172,-26.782932872099,9.02549747146406
